,data_area_name,length_from_coast
0,AL BARARI,0.6705690742933348
1,JUMEIRAH VILLAGE CIRCLE,0.6825478584121532
2,BURJ KHALIFA,0.5691560544270997
3,DUBAI MARINA,0.6455577520917151
4,DUBAI HILLS,0.7305264758564352
5,PALM JUMEIRAH,0.6223107864082058
6,DUBAI CREEK HARBOUR,0.5981226314327097
7,VILLANOVA,0.7092272542305967
8,MBR DISTRICT 1,0.7030360846143766
9,DUBAI HARBOUR,0.5981226314327097
10,BUSINESS BAY,0.5701270612241424
11,JUMEIRAH BEACH RESIDENCE,0.6559385352604628
12,ARJAN,0.6902375164663356
13,DUBAI SPORTS CITY,0.710792187584882
14,SOBHA HEARTLAND,0.5966313016613959
15,RUKAN,0.7177877167646735
16,ARABIAN RANCHES III,0.7044996234766444
17,INTERNATIONAL CITY PH 1,0.6507709548003661
18,Palm Jumeirah,0.6223107864082058
19,ARABIAN RANCHES I,0.7216951862399655
20,THE LAKES,0.6553917919147062
21,TOWN SQUARE,0.745812916704234
22,BARSHA HEIGHTS,0.6411980959909782
23,JUMEIRAH ISLANDS,0.6777743969550007
24,AL WAHA,0.7300777628188595
25,MIRA,0.4816861358059114
26,Hor Al Anz,0.5197201619395111
27,JUMEIRAH VILLAGE TRIANGLE,0.6843302928796634
28,THE GREENS,0.5963579691346147
29,REMRAAM,0.7487563729271945
30,EMIRATE LIVING,0.6793131036607765
31,GRAND VIEWS,0.6232172045072146
32,INTERNATIONAL CITY PH 2 & 3,0.6590068094088831
33,MUDON,0.7284010362015155
34,JUMEIRAH LAKES TOWERS,0.6599842102051487
35,ARABIAN RANCHES II,0.7216951862399655
36,THE VILLA,0.7916915505992173
37,Jabal Ali First,0.7124825187734865
38,LIVING LEGENDS,0.6793131036607765
39,Al Kifaf,0.5372970077724444
40,AKOYA OXYGEN,0.811797577109417
41,MILLENNIUM,0.5799114214516554
42,Al Mezhar First,0.660582712039156
43,JUMEIRAH PARK,0.6880050556796536
44,JUMEIRAH GOLF,0.7209621162536214
45,Mankhool,0.5247854482380876
46,ARABIAN RANCHES POLO CLUB,0.7042127063012277
47,Nad Al Shiba Third,0.6263093855740072
48,DAMAC HILLS,0.801790568745519
49,SERENA,0.7236314306502749
50,DUBAI PRODUCTION CITY,0.7078821528177609
51,TILAL AL GHAF,0.7210595606821286
52,Marsa Dubai,0.6471332017527086
53,EMAAR SOUTH,0.8692054437102765
54,Wadi Al Safa 7,0.6716484640294936
55,Wadi Al Safa 5,0.7089957136798649
56,DUBAI STUDIO CITY,0.7131621347497508
57,AL FURJAN,0.7061365714599105
58,Al Yelayiss 2,0.6442382136108038
59,Wadi Al Safa 3,0.6705705265340125
60,LA MER,0.5298181339297582
61,LIWAN,0.681423958202015
62,MOTOR CITY,0.7011796008874468
63,Mirdif,0.6144243968430946
64,JABEL ALI HILLS,0.8022433527924637
65,Al Manara,0.6006424984643872
66,Al Barsha Second,0.6481095166361072
67,NAD AL SHEBA GARDENS,0.6068955960797782
68,Me'Aisem First,0.6497763264045934
69,Al Warqa Fourth,0.639467291257833
70,DISCOVERY GARDENS,0.697241024327454
71,Al Barsha First,0.6346550962520848
72,Al Aweer First,0.660582712039156
73,Al Raffa,0.517549737650962
74,Al Khawaneej Second,0.6642601145095451
75,SILICON OASIS,0.6824115912296088
76,Al Wasl,0.5393150699524085
77,Al Hebiah Fifth,0.5367480139606106
78,MEYDAN AVENUE,0.6089654481980675
79,Hadaeq Sheikh Mohammed Bin Rashid,0.6373248524457927
80,JUMEIRAH LIVING,0.6473788714593807
81,Madinat Al Mataar,0.6077953263058616
82,MEYDAN ONE,0.5935649902509906
83,DOWN TOWN JABAL ALI,0.7086206393530479
84,MARSA AL ARAB,0.596429077353179
85,Um Suqaim Second,0.590330776211144
86,DUBAI LAND RESIDENCE COMPLEX,0.7014752306400495
87,TECOM SITE A,0.8230888849921526
88,AL KHAIL HEIGHTS,0.5993413811060679
89,Al Barshaa South First,0.6346550962520848
90,Mushrif,0.6312672669607547
91,Al Barshaa South Second,0.6914210829489702
92,Saih Shuaib 4,0.8167625234560795
